name,chg,country,currencyCode,period,high,chgpcnt,low,time,prev,iyield
Czech Republic 4Y,-0.004,Czech Republic,Czech Republic,4Y,0.168,-3.54,0.102,27/08,0.113,0.109
Czech Republic 5Y,-0.002,Czech Republic,Czech Republic,5Y,0.203,-0.51,0.173,27/08,0.198,0.197
Czech Republic 6Y,-0.005,Czech Republic,Czech Republic,6Y,0.292,-2.12,0.231,27/08,0.236,0.231
Czech Republic 7Y,0.014,Czech Republic,Czech Republic,7Y,0.381,3.95,0.353,27/08,0.368,0.368
Czech Republic 9Y,0.007,Czech Republic,Czech Republic,9Y,0.721,1.06,0.664,27/08,0.662,0.669
Czech Republic 10Y,-0.006,Czech Republic,Czech Republic,10Y,0.932,-0.55,0.900,27/08,0.910,0.905
Czech Republic 15Y,0.007,Czech Republic,Czech Republic,15Y,1.347,0.62,1.306,27/08,1.298,1.306
Czech Republic 50Y,-0.001,Czech Republic,Czech Republic,50Y,2.607,-0.04,2.607,27/08,2.607,2.607
Denmark 1M,0.020,Denmark,Denmark,1M,-0.530,3.12,-0.640,27/08,-0.640,-0.620
Denmark 2M,0.030,Denmark,Denmark,2M,-0.490,5.08,-0.590,27/08,-0.590,-0.560
Denmark 3M,0.010,Denmark,Denmark,3M,-0.450,1.92,-0.510,27/08,-0.520,-0.510
Denmark 6M,0.010,Denmark,Denmark,6M,-0.340,2.86,-0.370,27/08,-0.340,-0.340
Denmark 1Y,-0.010,Denmark,Denmark,1Y,-0.150,-5.56,-0.200,27/08,-0.180,-0.190
Denmark 2Y,0.065,Denmark,Denmark,2Y,-0.168,27.31,-0.240,27/08,-0.173,-0.173
Denmark 3Y,-0.003,Denmark,Denmark,3Y,-0.008,-21.43,-0.117,27/08,-0.014,-0.017
Denmark 5Y,0.036,Denmark,Denmark,5Y,0.111,51.43,0.078,27/08,0.106,0.106
Denmark 8Y,0.004,Denmark,Denmark,8Y,0.707,0.72,0.651,27/08,0.699,0.704
Denmark 10Y,0.005,Denmark,Denmark,10Y,1.031,0.51,0.939,27/08,0.974,0.979
Denmark 30Y,0.002,Denmark,Denmark,30Y,1.464,0.14,1.387,27/08,1.445,1.447
Egypt Overnight,-0.012,Egypt,Egypt,Overnight,8.907,-0.13,8.907,27/08,8.907,8.907
Egypt 3M,0.007,Egypt,Egypt,3M,10.907,0.06,10.900,0:07:37,10.900,10.907
Egypt 6M,-0.308,Egypt,Egypt,6M,11.242,-2.67,11.242,0:07:39,11.550,11.242
Egypt 9M,-0.101,Egypt,Egypt,9M,11.549,-0.87,11.549,0:07:39,11.650,11.549
Egypt 1Y,-0.133,Egypt,Egypt,1Y,11.617,-1.13,11.617,0:07:38,11.750,11.617
Egypt 3Y,-0.160,Egypt,Egypt,3Y,12.890,-1.23,12.890,27/08,13.050,12.890
Egypt 5Y,0.000,Egypt,Egypt,5Y,14.000,0.00,14.000,27/08,14.000,14.000
Egypt 7Y,-0.250,Egypt,Egypt,7Y,14.500,-1.69,14.500,27/08,14.750,14.500
Egypt 10Y,-0.100,Egypt,Egypt,10Y,15.400,-0.65,15.400,27/08,15.500,15.400
Finland 2Y,0.007,Finland,Finland,2Y,-0.126,3.98,-0.178,27/08,-0.176,-0.169
Finland 3Y,-0.017,Finland,Finland,3Y,-0.045,-34.69,-0.081,27/08,-0.049,-0.066
Finland 4Y,0.001,Finland,Finland,4Y,0.046,2.94,0.015,27/08,0.034,0.035
Finland 5Y,0.001,Finland,Finland,5Y,0.213,0.52,0.179,27/08,0.194,0.195
Finland 6Y,0.001,Finland,Finland,6Y,0.308,0.33,0.284,27/08,0.301,0.302
Finland 8Y,0.001,Finland,Finland,8Y,0.656,0.15,0.619,27/08,0.645,0.646
Finland 10Y,0.000,Finland,Finland,10Y,0.922,0.00,0.877,27/08,0.908,0.908
Finland 15Y,0.003,Finland,Finland,15Y,1.394,0.22,1.345,27/08,1.381,1.384
France 1M,0.028,France,France,1M,-0.190,0.00,-0.225,27/08,-0.190,-0.190
France 3M,0.003,France,France,3M,-0.193,0.00,-0.202,27/08,-0.195,-0.195
France 6M,-0.012,France,France,6M,-0.208,0.00,-0.222,27/08,-0.217,-0.217
France 9M,-0.002,France,France,9M,-0.201,0.00,-0.214,27/08,-0.210,-0.210
France 1Y,-0.003,France,France,1Y,-0.176,0.00,-0.192,27/08,-0.185,-0.185
France 2Y,0.007,France,France,2Y,-0.133,4.73,-0.165,27/08,-0.148,-0.141
France 3Y,0.013,France,France,3Y,-0.016,16.05,-0.090,3:30:02,-0.081,-0.068
France 4Y,0.026,France,France,4Y,0.089,41.27,0.041,0:02:09,0.063,0.089
France 5Y,0.025,France,France,5Y,0.283,10.44,0.225,3:30:03,0.249,0.275
France 6Y,0.023,France,France,6Y,0.400,6.10,0.350,0:02:09,0.377,0.400
France 7Y,0.020,France,France,7Y,0.578,3.67,0.518,3:34:28,0.545,0.565
France 8Y,0.014,France,France,8Y,0.653,2.04,0.605,0:05:16,0.638,0.651
France 9Y,-0.001,France,France,9Y,0.911,-0.11,0.864,27/08,0.898,0.897
France 10Y,0.005,France,France,10Y,1.133,0.45,1.066,27/08,1.100,1.105
France 15Y,0.006,France,France,15Y,1.586,0.38,1.525,27/08,1.569,1.575
France 20Y,0.003,France,France,20Y,1.784,0.17,1.730,27/08,1.772,1.775
France 30Y,-0.004,France,France,30Y,2.043,-0.20,1.990,27/08,2.037,2.033
France 50Y,-0.002,France,France,50Y,2.219,-0.09,2.162,27/08,2.213,2.211
Germany 1M,0.024,Germany,Germany,1M,-0.266,0.00,-0.300,27/08,-0.266,-0.266
Germany 3M,0.023,Germany,Germany,3M,-0.276,7.54,-0.320,27/08,-0.305,-0.282
Germany 6M,0.000,Germany,Germany,6M,-0.206,0.00,-0.206,27/08,-0.206,-0.206
Germany 9M,0.001,Germany,Germany,9M,-0.269,0.00,-0.271,27/08,-0.270,-0.270
Germany 1Y,0.000,Germany,Germany,1Y,-0.222,0.00,-0.254,27/08,-0.224,-0.224
Germany 2Y,-0.002,Germany,Germany,2Y,-0.213,-0.93,-0.228,27/08,-0.216,-0.218
Germany 3Y,0.009,Germany,Germany,3Y,-0.137,6.16,-0.159,27/08,-0.146,-0.137
Germany 4Y,-0.001,Germany,Germany,4Y,-0.054,-3.45,-0.075,27/08,-0.058,-0.060
Germany 5Y,-0.002,Germany,Germany,5Y,0.087,-2.33,0.064,27/08,0.086,0.084
Germany 6Y,0.002,Germany,Germany,6Y,0.184,1.13,0.153,27/08,0.177,0.179
Germany 7Y,-0.001,Germany,Germany,7Y,0.320,-0.32,0.286,27/08,0.316,0.315
Germany 8Y,0.000,Germany,Germany,8Y,0.449,0.00,0.411,27/08,0.444,0.444
Germany 9Y,0.013,Germany,Germany,9Y,0.632,1.96,0.576,3:30:27,0.613,0.625
Germany 10Y,0.005,Germany,Germany,10Y,0.748,0.67,0.703,27/08,0.741,0.746
Germany 15Y,0.001,Germany,Germany,15Y,1.120,0.09,1.064,27/08,1.111,1.112
Germany 20Y,-0.005,Germany,Germany,20Y,1.239,-0.41,1.177,27/08,1.231,1.226
Germany 30Y,-0.003,Germany,Germany,30Y,1.457,-0.21,1.390,27/08,1.446,1.443
Greece 3M,-0.106,Greece,Greece,3M,3.183,-3.33,3.035,0:05:45,3.183,3.077
Greece 6M,-0.051,Greece,Greece,6M,3.165,-1.61,3.114,0:05:43,3.165,3.114
Greece 2Y,-0.526,Greece,Greece,2Y,12.735,-4.19,12.019,27/08,12.019,12.019
Greece 5Y,-0.578,Greece,Greece,5Y,11.200,-5.22,10.470,27/08,10.470,10.470
Greece 10Y,0.181,Greece,Greece,10Y,9.420,1.97,9.127,27/08,9.127,9.307
Greece 15Y,0.119,Greece,Greece,15Y,9.104,1.34,8.882,27/08,8.882,9.001
Greece 20Y,-0.016,Greece,Greece,20Y,8.943,-0.18,8.773,27/08,8.789,8.773
Greece 30Y,-0.059,Greece,Greece,30Y,8.417,-0.71,8.268,27/08,8.327,8.268
Hong Kong 1W,0,Hong Kong,Hong Kong,1W,0.020,0,0.020,1:51:54,0.020,0.020
Hong Kong 1M,0,Hong Kong,Hong Kong,1M,0.030,0,0.030,1:51:54,0.030,0.030
Hong Kong 3M,0,Hong Kong,Hong Kong,3M,0.030,0,0.030,1:51:54,0.030,0.030
Hong Kong 6M,0,Hong Kong,Hong Kong,6M,0.040,0,0.040,1:51:54,0.040,0.040
Hong Kong 9M,0.000,Hong Kong,Hong Kong,9M,0.060,0.00,0.060,1:51:54,0.060,0.060
Hong Kong 1Y,0.000,Hong Kong,Hong Kong,1Y,0.090,0.00,0.090,1:51:54,0.090,0.090
Hong Kong 2Y,0.000,Hong Kong,Hong Kong,2Y,0.511,0.00,0.511,27/08,0.511,0.511
Hong Kong 3Y,0.054,Hong Kong,Hong Kong,3Y,0.810,7.14,0.781,2:20:57,0.756,0.810
Hong Kong 5Y,0.040,Hong Kong,Hong Kong,5Y,1.247,3.26,1.195,2:21:06,1.197,1.236
Hong Kong 7Y,0.000,Hong Kong,Hong Kong,7Y,1.543,0.00,1.543,27/08,1.543,1.543
Hong Kong 10Y,0.000,Hong Kong,Hong Kong,10Y,1.838,0.00,1.838,1:06:02,1.827,1.838
Hong Kong 15Y,0.000,Hong Kong,Hong Kong,15Y,1.980,0.00,1.980,1:06:02,1.972,1.980
Hungary 3M,-0.020,Hungary,Hungary,3M,0.830,-2.35,0.830,27/08,0.830,0.830
Hungary 6M,-0.020,Hungary,Hungary,6M,0.780,-2.50,0.780,27/08,0.780,0.780
Hungary 1Y,-0.030,Hungary,Hungary,1Y,0.820,-3.53,0.820,27/08,0.820,0.820
Hungary 3Y,-0.050,Hungary,Hungary,3Y,2.260,-2.16,2.260,27/08,2.260,2.260
Hungary 5Y,-0.070,Hungary,Hungary,5Y,2.790,-2.45,2.790,27/08,2.790,2.790
Hungary 10Y,-0.080,Hungary,Hungary,10Y,3.780,-2.07,3.780,27/08,3.780,3.780
Hungary 15Y,-0.060,Hungary,Hungary,15Y,4.030,-1.47,4.030,27/08,4.030,4.030
Iceland 2Y,-0.039,Iceland,Iceland,2Y,6.126,-0.63,6.126,27/08,6.126,6.126
Iceland 5Y,0.063,Iceland,Iceland,5Y,6.145,1.04,6.143,27/08,6.143,6.143
Iceland 10Y,0.004,Iceland,Iceland,10Y,6.074,0.07,6.043,27/08,6.074,6.074
India 3M,-0.030,India,India,3M,7.410,-0.40,7.400,3:30:58,7.440,7.410
India 6M,-0.010,India,India,6M,7.500,-0.13,7.500,3:30:58,7.500,7.500
India 1Y,-0.010,India,India,1Y,7.419,-0.13,7.419,3:30:58,7.419,7.419
India 2Y,-0.006,India,India,2Y,7.723,-0.09,7.723,3:30:58,7.723,7.723
India 3Y,-0.008,India,India,3Y,7.811,-0.12,7.811,3:30:58,7.811,7.811
India 4Y,-0.006,India,India,4Y,7.814,-0.08,7.808,3:30:58,7.820,7.814
India 5Y,-0.013,India,India,5Y,7.887,-0.16,7.882,3:30:58,7.900,7.887
India 6Y,-0.021,India,India,6Y,7.953,0.00,7.951,3:30:58,7.951,7.951
India 7Y,-0.016,India,India,7Y,8.004,-0.19,7.998,3:30:58,8.019,8.004
India 8Y,-0.022,India,India,8Y,7.912,-0.28,7.905,3:30:59,7.934,7.912
India 9Y,-0.016,India,India,9Y,7.932,-0.20,7.926,3:30:59,7.948,7.932
India 10Y,-0.024,India,India,10Y,7.769,0.00,7.765,3:30:58,7.769,7.769
India 11Y,-0.015,India,India,11Y,8.013,-0.19,8.011,3:30:58,8.028,8.013
India 12Y,-0.009,India,India,12Y,8.033,-0.11,8.033,3:30:58,8.033,8.033
India 13Y,-0.014,India,India,13Y,8.015,-0.16,8.014,3:30:58,8.027,8.014
India 14Y,-0.022,India,India,14Y,7.915,-0.28,7.911,3:30:58,7.937,7.915
India 15Y,-0.008,India,India,15Y,8.084,0.00,8.080,3:30:58,8.084,8.084
India 19Y,-0.028,India,India,19Y,8.017,-0.36,8.009,3:30:58,8.038,8.009
India 24Y,-0.009,India,India,24Y,8.041,-0.11,8.032,3:30:58,8.050,8.041
India 30Y,-0.013,India,India,30Y,7.987,-0.16,7.978,3:30:58,7.991,7.978
Indonesia 6M,0.000,Indonesia,Indonesia,6M,6.600,0.00,6.600,0:30:41,6.600,6.600
Indonesia 1Y,0.000,Indonesia,Indonesia,1Y,7.789,0.00,7.789,0:30:41,7.789,7.789
Indonesia 3Y,0.000,Indonesia,Indonesia,3Y,8.370,0.00,8.370,2:24:32,8.393,8.370
Indonesia 5Y,0.000,Indonesia,Indonesia,5Y,8.524,0.00,8.524,2:24:32,8.532,8.524
Indonesia 10Y,0.000,Indonesia,Indonesia,10Y,8.754,0.00,8.732,2:24:33,8.816,8.732
Indonesia 15Y,0.000,Indonesia,Indonesia,15Y,9.129,0.00,9.097,2:24:34,9.142,9.097
Indonesia 20Y,0.000,Indonesia,Indonesia,20Y,9.166,0.00,9.166,2:24:35,9.258,9.166
Indonesia 25Y,0.000,Indonesia,Indonesia,25Y,9.509,0.00,9.509,0:30:41,9.509,9.509
Indonesia 30Y,0.000,Indonesia,Indonesia,30Y,9.506,0.00,9.506,0:30:41,9.506,9.506
Ireland 1Y,-0.011,Ireland,Ireland,1Y,0.211,-137.50,-0.131,3:30:05,0.008,-0.003
Ireland 2Y,0.072,Ireland,Ireland,2Y,0.131,270.37,-0.022,3:30:03,0.027,0.100
Ireland 3Y,0.112,Ireland,Ireland,3Y,0.208,125.84,0.056,3:30:02,0.089,0.201
Ireland 5Y,0.059,Ireland,Ireland,5Y,0.524,13.50,0.410,3:30:03,0.437,0.496
Ireland 7Y,0.063,Ireland,Ireland,7Y,0.881,7.70,0.779,3:30:03,0.805,0.867
Ireland 8Y,0.045,Ireland,Ireland,8Y,1.094,4.35,0.998,3:30:02,1.035,1.080
Ireland 10Y,-0.012,Ireland,Ireland,10Y,1.421,-0.85,1.379,27/08,1.418,1.406
Ireland 15Y,-0.034,Ireland,Ireland,15Y,1.908,-1.78,1.846,27/08,1.907,1.873
Israel 3M,0.002,Israel,Israel,3M,0.078,4.00,0.078,27/08,0.078,0.078
Israel 1Y,0.001,Israel,Israel,1Y,0.086,1.18,0.086,27/08,0.086,0.086
Israel 3Y,0.013,Israel,Israel,3Y,0.314,4.08,0.295,27/08,0.306,0.306
Israel 5Y,0.023,Israel,Israel,5Y,0.898,2.63,0.863,27/08,0.896,0.896
Israel 10Y,0.025,Israel,Israel,10Y,2.185,1.17,2.124,27/08,2.165,2.165
Italy 3M,-0.002,Italy,Italy,3M,-0.020,0.00,-0.117,27/08,-0.058,-0.058
Italy 6M,0.008,Italy,Italy,6M,0.048,0.00,0.033,27/08,0.043,0.043
Italy 9M,0.001,Italy,Italy,9M,0.030,0.00,0.016,27/08,0.030,0.030
Italy 1Y,0.002,Italy,Italy,1Y,0.073,0.00,0.061,27/08,0.068,0.068
Italy 2Y,-0.006,Italy,Italy,2Y,0.245,-3.70,0.181,27/08,0.189,0.182
Italy 3Y,-0.007,Italy,Italy,3Y,0.409,-1.82,0.375,27/08,0.384,0.377
Italy 4Y,-0.003,Italy,Italy,4Y,0.659,-0.48,0.618,27/08,0.622,0.619
Italy 5Y,0.001,Italy,Italy,5Y,0.969,0.11,0.909,27/08,0.913,0.914
