==========
Sat Sep 19 20:15:01 EDT 2015
{'name': 'AUD/CAD', 'period': '60', 'summary': 'STRONG BUY'}
{'name': 'AUD/NZD', 'period': '5', 'summary': 'NEUTRAL'}
name    AUD/CAD AUD/CHF AUD/JPY AUD/NZD AUD/USD CAD/CHF CHF/JPY EUR/AUD  \
period                                                                    
1            -2       1      -2       2      -2       1       1       2   
5             0       0      -2       0      -2       0       0       1   
15            2       2      -2      -2      -2       1      -2      -1   
30            2       2      -2      -2      -2       0      -2      -2   
60            2       2      -2      -2      -2       0      -2      -2   
300           2       2       0      -1       1      -1      -2      -2   
1440          2       1       1       2       1      -2      -2      -1   
604800        0      -1      -2       2      -2      -2      -2       2   
2678400      -2      -2      -2       1      -2      -2       0       2   

name    EUR/CAD EUR/CHF   ...   GBP/USD NZD/CAD NZD/JPY NZD/USD USD/CAD  \
period                    ...                                             
1             2      -2   ...        -2       2      -2      -2       2   
5             2      -2   ...        -2       2      -2      -2       2   
15            0      -2   ...        -2       2      -1      -2       2   
30            1      -2   ...        -2       2      -1      -2       2   
60            0      -2   ...        -2       2       2       0       2   
300           1      -2   ...         2       2       2       2       2   
1440          2       1   ...         2       0       0       1       0   
604800        2       1   ...         0      -2      -2      -2       2   
2678400       2      -1   ...        -1      -2      -2      -2       2   

name    USD/HKD USD/JPY USD/RUB XAG/USD XAU/USD  
period                                           
1            -2       2      -2       2       2  
5            -2       2       0       2       2  
15           -2       2       2       2       2  
30           -2       2       2       0       2  
60           -2       1       2       0       2  
300          -2      -2       1       2       2  
1440         -2      -2       0       2       2  
604800       -2      -1       2      -1      -1  
2678400      -2       2       2      -2      -2  

[9 rows x 28 columns]

                   1                pa
0                                     
USDHKDvall--18.0 -18  USDHKDvall--18.0
USDCAD^all-16.0   16   USDCAD^all-16.0
GBPCHF^all-17.0   17   GBPCHF^all-17.0
==========
==========
Sat Sep 19 20:30:01 EDT 2015
